project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
HCMI-CMDC	03974dc9-0162-4de8-9897-09f88693681a	HCM-BROD-0334-C43	eb79f8b4-1cc3-4a32-ad51-cfea8cf150f0	HCM-BROD-0334-C43-10A	bd0bc175-5b54-47c1-96fc-c6d8afc0c115	HCM-BROD-0334-C43-10A-01	c8974764-4836-4a34-aeb8-52b491f78d0e	HCM-BROD-0334-C43-10A-01D	'--	'--	'--	DNA	D	'--	0.04	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	03bfeb7c-cecf-4691-8263-33cdfe391ea9	HCM-BROD-0124-C25	539593d1-bd9b-4379-8c86-16cdf607cd4e	HCM-BROD-0124-C25-10A	303512c0-382b-4442-a5a7-2699ca8b1384	HCM-BROD-0124-C25-10A-01	db8132c3-47a8-49ec-9b78-bc7d18debf67	HCM-BROD-0124-C25-10A-01D	'--	'--	'--	DNA	D	'--	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	'--	released	'--
HCMI-CMDC	03bfeb7c-cecf-4691-8263-33cdfe391ea9	HCM-BROD-0124-C25	b0c0b5b0-cf6d-4281-8f4d-43dc77e88bc6	HCM-BROD-0124-C25-85A	41ea69d0-5692-5950-998c-bb545f326827	'--	01764f17-2a97-442e-a08b-8a21303b4770	HCM-BROD-0124-C25-85A-01R	1.74	'--	'--	RNA	R	'--	0.1	mirVana (Allprep DNA) RNA	Yes	1.53	7.7	UV Spec	released	'--
HCMI-CMDC	03bfeb7c-cecf-4691-8263-33cdfe391ea9	HCM-BROD-0124-C25	b0c0b5b0-cf6d-4281-8f4d-43dc77e88bc6	HCM-BROD-0124-C25-85A	d7a97a22-7494-5959-be7b-760438eb3c29	'--	f74bf217-dae2-4554-92e4-8707068ea7a7	HCM-BROD-0124-C25-85A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	03bfeb7c-cecf-4691-8263-33cdfe391ea9	HCM-BROD-0124-C25	e6bc6b9d-553f-4c78-bc11-ebcf7b0d4f27	HCM-BROD-0124-C25-01A	f07a4dae-2878-452e-9836-6f39c594d38d	HCM-BROD-0124-C25-01A-01	c9884c81-3c8f-4ad9-a962-42c7459a2276	HCM-BROD-0124-C25-01A-01R	'--	'--	'--	RNA	R	'--	'--	'--	Yes	'--	'--	'--	released	'--
HCMI-CMDC	03bfeb7c-cecf-4691-8263-33cdfe391ea9	HCM-BROD-0124-C25	e6bc6b9d-553f-4c78-bc11-ebcf7b0d4f27	HCM-BROD-0124-C25-01A	f07a4dae-2878-452e-9836-6f39c594d38d	HCM-BROD-0124-C25-01A-01	d4f1a9f8-f748-4f45-aa06-da4d760c4fab	HCM-BROD-0124-C25-01A-01D	'--	'--	'--	DNA	D	'--	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	'--	released	'--
HCMI-CMDC	04cbceab-f945-482b-956b-840756a17a4a	HCM-BROD-0421-C71	009edc9d-3acf-4e70-b49b-5e83e54ae258	HCM-BROD-0421-C71-85A	b6f054e7-7d01-529f-911c-400b41404150	'--	6852014a-7cc2-447f-b09f-ba7c53403ab9	HCM-BROD-0421-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	04cbceab-f945-482b-956b-840756a17a4a	HCM-BROD-0421-C71	009edc9d-3acf-4e70-b49b-5e83e54ae258	HCM-BROD-0421-C71-85A	bd5df0b0-a006-538c-8d02-bd92783f5457	'--	b256dfa3-f988-4595-a276-d324b83928ac	HCM-BROD-0421-C71-85A-01R	1.87	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.94	8.5	UV Spec	released	'--
HCMI-CMDC	04cbceab-f945-482b-956b-840756a17a4a	HCM-BROD-0421-C71	4c8febaa-bbc4-4870-8960-328da9cac009	HCM-BROD-0421-C71-10A	20322504-bde0-4b32-8fda-f5d7dc5bcc47	HCM-BROD-0421-C71-10A-01	d40b1ebb-c895-4732-9abc-0c9f818037ac	HCM-BROD-0421-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.04	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	04cbceab-f945-482b-956b-840756a17a4a	HCM-BROD-0421-C71	6039b795-fe2d-4a71-b9b9-2e6caedb5cb5	HCM-BROD-0421-C71-01B	87467751-20cc-4889-8d94-4adda1d74d76	HCM-BROD-0421-C71-01B-11	45446a95-ef00-4f45-8068-62e733f29129	HCM-BROD-0421-C71-01B-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	04cbceab-f945-482b-956b-840756a17a4a	HCM-BROD-0421-C71	6039b795-fe2d-4a71-b9b9-2e6caedb5cb5	HCM-BROD-0421-C71-01B	87467751-20cc-4889-8d94-4adda1d74d76	HCM-BROD-0421-C71-01B-11	643c8f31-9fd7-42a8-bcca-aa4528162718	HCM-BROD-0421-C71-01B-11R	1.88	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.36	8.2	UV Spec	released	'--
HCMI-CMDC	05f41641-ee22-4d41-bb87-2bfa47cd983f	HCM-BROD-0095-C15	5fcb1b3c-6711-4caa-9c6c-31ed2c0fc238	HCM-BROD-0095-C15-85A	2c70e336-421c-5119-aad0-c9fceca6ec96	'--	331fc610-2b43-4b0a-a9b2-3a8a665cb000	HCM-BROD-0095-C15-85A-01R	1.9	'--	'--	RNA	R	'--	0.13	mirVana (Allprep DNA) RNA	Yes	1.49	9.3	UV Spec	released	'--
HCMI-CMDC	05f41641-ee22-4d41-bb87-2bfa47cd983f	HCM-BROD-0095-C15	5fcb1b3c-6711-4caa-9c6c-31ed2c0fc238	HCM-BROD-0095-C15-85A	7a8f042d-d560-5d46-8746-54772cc71ebf	'--	d2acb3a5-7b51-4d86-8c2f-18b3f886a001	HCM-BROD-0095-C15-85A-01D	'--	'--	'--	DNA	D	'--	0.13	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	05f41641-ee22-4d41-bb87-2bfa47cd983f	HCM-BROD-0095-C15	71568fd7-b545-4979-a907-ef8bf41e76db	HCM-BROD-0095-C15-10B	0ef29dec-13e5-4faf-997c-a9c9502a353b	HCM-BROD-0095-C15-10B-01	3cd4c8b4-8c23-4c20-bffb-97e0f5e5ac0a	HCM-BROD-0095-C15-10B-01D	'--	'--	'--	DNA	D	'--	0.07	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	05f41641-ee22-4d41-bb87-2bfa47cd983f	HCM-BROD-0095-C15	d9db85d9-5ea2-41cd-96d2-d50462b5d4b6	HCM-BROD-0095-C15-06A	c7660224-cef0-4d7d-b532-a4e9d4a7fb7c	HCM-BROD-0095-C15-06A-11	76ed5a0c-8129-4a73-bbd2-08d9b36bee62	HCM-BROD-0095-C15-06A-11R	1.81	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	0.99	5.8	UV Spec	released	'--
HCMI-CMDC	05f41641-ee22-4d41-bb87-2bfa47cd983f	HCM-BROD-0095-C15	d9db85d9-5ea2-41cd-96d2-d50462b5d4b6	HCM-BROD-0095-C15-06A	c7660224-cef0-4d7d-b532-a4e9d4a7fb7c	HCM-BROD-0095-C15-06A-11	e6f06e9e-bf13-44fb-990c-d64b1096cd7c	HCM-BROD-0095-C15-06A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	316d4d4c-3e3d-40df-bb8a-d5ebaec868d6	HCM-CSHL-0511-C24-10A	f32245c9-580a-4396-afd5-8fd713e469f0	HCM-CSHL-0511-C24-10A-01	b41d3baf-54d6-42db-b309-779636a5347d	HCM-CSHL-0511-C24-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	6fcebb39-c4a3-4acb-bdc4-b0297c4dba1a	HCM-CSHL-0511-C24-86M	17437bc4-9521-56fe-8ecb-c15a43b19e91	'--	7a8ed924-aa7a-4439-b4f2-25575199f03b	HCM-CSHL-0511-C24-86M-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	ec709b72-38b2-43a2-97b3-f0b1b0d01a65	HCM-CSHL-0511-C24-85A	f55a365f-cd7e-5c12-bf45-4618d64a5417	'--	00b99339-14e0-4df3-8b99-1f8f7ed69037	HCM-CSHL-0511-C24-85A-01R	1.85	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	0.26	6.2	UV Spec	released	'--
HCMI-CMDC	0693e8b4-9a8d-4356-9f3f-7da3bf1d202d	HCM-CSHL-0511-C24	ec709b72-38b2-43a2-97b3-f0b1b0d01a65	HCM-CSHL-0511-C24-85A	e8031db4-ee9f-5b21-a4db-f76d68c782d7	'--	da31e156-ea49-489f-9ae0-e1bb2ecf6eb9	HCM-CSHL-0511-C24-85A-01D	'--	'--	'--	DNA	D	'--	0.12	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	157e37cf-cda4-4936-ba0f-717f3349faa3	HCM-CSHL-0160-C18-01B	2c0ba172-df6f-4e17-93b4-3177b0faa4df	HCM-CSHL-0160-C18-01B-01	6d7cf379-4809-4941-ab1f-0627da2c7e61	HCM-CSHL-0160-C18-01B-01D	'--	'--	'--	DNA	D	'--	0.16	Allprep FFPE DNA	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	157e37cf-cda4-4936-ba0f-717f3349faa3	HCM-CSHL-0160-C18-01B	2c0ba172-df6f-4e17-93b4-3177b0faa4df	HCM-CSHL-0160-C18-01B-01	be240ef2-6a83-4bc9-bd67-861bfc009669	HCM-CSHL-0160-C18-01B-01R	1.78	'--	'--	RNA	R	'--	0.18	HighPure miRNA (Allprep DNA) FFPE RNA	Yes	0.0	2.4	UV Spec	released	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ce4c8915-4e10-497d-b147-2f2b7533f27d	HCM-CSHL-0160-C18-10A	4ae18446-04f5-4c64-a08d-9c6763ba725f	HCM-CSHL-0160-C18-10A-01	cbb1471b-dc94-4a48-b29c-25bbb0f0a72a	HCM-CSHL-0160-C18-10A-01D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ee091ee0-eb27-452e-8c36-87cce2190257	HCM-CSHL-0160-C18-85A	2d4dd1a3-c319-5141-a080-f3f141127fa3	'--	7814d6d8-4739-4e81-bbda-44db0ca71553	HCM-CSHL-0160-C18-85A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	06d42c21-4c97-4171-ac00-3979a51a59d9	HCM-CSHL-0160-C18	ee091ee0-eb27-452e-8c36-87cce2190257	HCM-CSHL-0160-C18-85A	37e6d2d7-71be-586f-a376-74b6e5939cb0	'--	efb38a8c-ac9f-4f44-945d-3f585b7e7731	HCM-CSHL-0160-C18-85A-01R	1.89	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	0.87	5.2	UV Spec	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	5e022434-3cf6-4ff1-8b3f-f8f9626f23c4	HCM-BROD-0417-C71-01A	71ec7047-c323-4812-8fa1-cd2ed2db496b	HCM-BROD-0417-C71-01A-11	9a6327a6-927a-41c2-8c13-fabf9f3d2915	HCM-BROD-0417-C71-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	5e022434-3cf6-4ff1-8b3f-f8f9626f23c4	HCM-BROD-0417-C71-01A	71ec7047-c323-4812-8fa1-cd2ed2db496b	HCM-BROD-0417-C71-01A-11	d56d0a57-92c1-4b74-959a-16c08551b449	HCM-BROD-0417-C71-01A-11R	1.87	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.34	7.7	UV Spec	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	84de5665-8beb-4d42-9b60-5404a6b51924	HCM-BROD-0417-C71-10A	7e9026b4-9b21-4b66-b58b-7b658582a781	HCM-BROD-0417-C71-10A-01	129ced52-38ba-4727-ad2a-2eb8c293c67d	HCM-BROD-0417-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.09	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	c49ae30e-34df-4547-b7d9-3e38f6aa366d	HCM-BROD-0417-C71-85A	1b55925c-e0f8-5ac2-8933-9cd9ce95044d	'--	6323d481-0032-411f-bf01-2ec26221c02b	HCM-BROD-0417-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.03	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0798bf7a-53f3-4d88-a863-b4fc186bb5b6	HCM-BROD-0417-C71	c49ae30e-34df-4547-b7d9-3e38f6aa366d	HCM-BROD-0417-C71-85A	cb490834-462f-5908-87da-5a584ac6291d	'--	72439fa0-1720-4931-9798-1e79cc63f17c	HCM-BROD-0417-C71-85A-01R	1.88	'--	'--	RNA	R	'--	0.03	mirVana (Allprep DNA) RNA	Yes	2.13	9.3	UV Spec	released	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	17766175-a251-454b-9263-76af20b77290	HCM-SANG-0268-C18-10A	4d2aeabd-3a5a-42fc-8bcd-301829a32883	HCM-SANG-0268-C18-10A-01	3a6a1f63-f9d3-44f0-8659-3b3cd19a42a0	HCM-SANG-0268-C18-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	20b5f03e-26b9-4902-9bdd-667168727e6d	HCM-SANG-0268-C18-85A-01R-A80W-32	bd164ab8-d82e-5d84-a898-5ae4a6aed8a1	'--	95e8ac2d-9be5-57d1-9556-f76c5f1a838b	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	475ac2f5-327f-4d94-bebf-e03058911b59	HCM-SANG-0268-C18-85A-01D-A80T-32	6ff22af8-50de-58a4-bfbd-32b2e6dffae7	'--	654bbf29-e94d-50f1-9595-07748aa9ad5a	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	6a530ae1-79fa-4536-bbf5-86b14a80563e	HCM-SANG-0268-C18-01A-01D-A80T-32	e3e4cc0e-3d23-57f0-936f-e789aabda295	'--	9050b52c-abe4-5721-ace4-b816397043c2	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	9eb44d2a-80c0-43d2-822a-0598a7d8e68c	HCM-SANG-0268-C18-85A	bd1b4265-089a-541f-8f1e-e9063bac45a0	'--	6671382a-20f0-41d7-a35d-c09c7275d08a	HCM-SANG-0268-C18-85A-01R	2.04	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.5	9.1	UV Spec	released	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	9eb44d2a-80c0-43d2-822a-0598a7d8e68c	HCM-SANG-0268-C18-85A	781bda6f-6890-5eb1-a6a3-e8f3bb4c2de8	'--	d5034c0e-2790-4fb5-82b0-e36c0626b57c	HCM-SANG-0268-C18-85A-01D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	07a067d0-7dfc-4817-b4c5-9200da20a59f	HCM-SANG-0268-C18	a3817d45-dbaa-4295-8d17-712c0c2438e4	HCM-SANG-0268-C18-10A-01D-A80T-32	abf28477-77b3-54ee-9ce7-f07878c08149	'--	e267f26c-cadf-587e-86e6-4da67864f0d2	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	b5c17c08-510a-4672-93d6-7d93b7a90a0c	HCM-BROD-0213-C71-02A	3805fe65-ff18-461c-8979-851863e864cf	HCM-BROD-0213-C71-02A-11	0696136a-fc21-4f88-b589-aba4ae3e8654	HCM-BROD-0213-C71-02A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	b5c17c08-510a-4672-93d6-7d93b7a90a0c	HCM-BROD-0213-C71-02A	3805fe65-ff18-461c-8979-851863e864cf	HCM-BROD-0213-C71-02A-11	de16147c-9113-4889-9a12-f2fdaa5a5bc2	HCM-BROD-0213-C71-02A-11R	2.28	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.65	9.5	UV Spec	released	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	c9f45011-80ab-45ce-b0f2-a80842dd9a14	HCM-BROD-0213-C71-10A	c2165aa3-2b4f-416d-8439-ad480e76a00c	HCM-BROD-0213-C71-10A-01	591b556a-e255-4d92-af52-72918fe5659c	HCM-BROD-0213-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.08	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	f1064a84-2317-4d26-a559-3a0affd5e2ef	HCM-BROD-0213-C71-85A	2e62ead3-d83f-5aa5-b0fa-f6f6de6483f5	'--	9d3fc7e0-7b4c-4eb7-984e-b26d88fa1dea	HCM-BROD-0213-C71-85A-01R	1.92	'--	'--	RNA	R	'--	0.12	mirVana (Allprep DNA) RNA	Yes	2.32	8.2	UV Spec	released	'--
HCMI-CMDC	08b22310-e8dd-4638-8c5b-dea48328450e	HCM-BROD-0213-C71	f1064a84-2317-4d26-a559-3a0affd5e2ef	HCM-BROD-0213-C71-85A	6dd8998e-3102-5731-8e32-256a7f594686	'--	cf475e90-4155-42bd-b2a2-f287d6c29a84	HCM-BROD-0213-C71-85A-01D	'--	'--	'--	DNA	D	'--	0.13	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	2ccc3dc4-042a-477a-8b3f-b8b7ff838762	HCM-SANG-0271-D12-85B	e13214a5-d2f5-59ba-85ba-2862fea3ac9d	'--	a70c036b-ea29-46d5-ba7f-8152947146f8	HCM-SANG-0271-D12-85B-01D	'--	'--	'--	DNA	D	'--	0.13	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	371a0350-a942-4a63-ac59-873da0cd1e86	HCM-SANG-0271-D12-01A-01D-A80T-32	5c78212a-4313-5804-9b4d-6cf7cf5de673	'--	c69f6327-51cf-50aa-b63c-ed68a7c8c5ab	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	4d8a7679-067e-4af7-9b11-d7722adc35ba	HCM-SANG-0271-D12-85A-01R-A80W-32	2c23da2c-c1ab-55d2-8f8e-c5e25b05dc3d	'--	ed628d53-dfe3-5392-936d-a54b773aebc5	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	5d4ac7e0-5a91-4e32-bf47-1febc9cc37d7	HCM-SANG-0271-D12-85A-01D-A80T-32	e185718c-0e12-5329-bbfa-5aa5eb71014c	'--	c29ffa1e-c858-51cc-a6e3-6b3226fe1d1f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
HCMI-CMDC	0a6a14db-ca5c-4bf9-9125-611d672bc67b	HCM-SANG-0271-D12	ae2b48ea-7255-4d3d-ba00-1def687c3606	HCM-SANG-0271-D12-10A	bcb558ac-e5bf-4b6c-af72-9b78b7b76722	HCM-SANG-0271-D12-10A-01	4c154bcd-3cd5-4e3a-bb90-948cf4c92965	HCM-SANG-0271-D12-10A-01D	'--	'--	'--	DNA	D	'--	0.13	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
