,sample_id,inhibitor,auc
61,11-00261,Tozasertib (VX-680),185.359897386492
62,11-00261,VX-745,197.074421161234
63,11-00261,Vandetanib (ZD6474),250.17952082105
64,11-00261,Vatalanib (PTK787),142.608867999495
65,11-00261,YM-155,261.946573573184
66,11-00261,p38 MAP Kinase Inhibitor,281.648956269395
67,11-00376,AKT Inhibitor IV,129.573817357877
68,11-00376,AKT Inhibitor X,261.508737354574
69,11-00376,AMPK Inhibitor,209.549329309003
70,11-00376,AST-487,154.624763186962
71,11-00376,Alisertib (MLN8237),253.863048658049
72,11-00376,Bortezomib (Velcade),119.896379263439
73,11-00376,CYT387,184.136891078007
74,11-00376,Dasatinib,98.7484729372064
75,11-00376,Doramapimod (BIRB 796),101.444234684589
76,11-00376,Dovitinib (CHIR-258),148.085156440278
77,11-00376,Flavopiridol,155.306522553451
78,11-00376,GW-2580,161.575251292546
79,11-00376,Go6976,203.727513816917
80,11-00376,H-89,244.194576021991
81,11-00376,Idelalisib,244.011331436186
82,11-00376,JAK Inhibitor I,217.672360986075
83,11-00376,JNJ-7706621,249.763509813225
84,11-00376,JNK Inhibitor II,219.777259523049
85,11-00376,KN92,247.039386323358
86,11-00376,KN93,241.516655764896
87,11-00376,LY294002,205.608844678183
88,11-00376,MEK1/2 Inhibitor,235.653118497572
89,11-00376,Midostaurin,174.867325767123
90,11-00376,NF-kB Activation Inhibitor,220.896764680207
91,11-00376,Nilotinib,220.67176394179
92,11-00376,PD98059,270.033594780585
93,11-00376,PP2,219.356865040892
94,11-00376,PRT062070,150.535079559586
95,11-00376,Ponatinib (AP24534),181.25177480391
96,11-00376,Quizartinib (AC220),142.364729397261
97,11-00376,Roscovitine (CYC-202),281.279370481174
98,11-00376,SB-202190,176.679511484232
99,11-00376,SB-203580,196.158579061017
100,11-00376,STO609,247.543197009512
101,11-00376,SU14813,138.166979307967
102,11-00376,SYK Inhibitor,216.604114281257
103,11-00376,Sorafenib,140.517980622862
104,11-00376,Sunitinib,181.132481453752
105,11-00376,Tandutinib (MLN518),186.390014137015
106,11-00376,Tozasertib (VX-680),217.18626197522
107,11-00376,VX-745,200.505289831049
108,11-00376,p38 MAP Kinase Inhibitor,237.929997330713
109,11-00378,AKT Inhibitor IV,123.411874054346
110,11-00378,AKT Inhibitor X,267.315292211256
111,11-00378,AMPK Inhibitor,243.145054074819
112,11-00378,AST-487,207.287381100672
113,11-00378,Alisertib (MLN8237),239.885306429055
114,11-00378,Bortezomib (Velcade),145.160703988777
115,11-00378,CYT387,228.186448389186
116,11-00378,Dasatinib,159.355404946326
117,11-00378,Doramapimod (BIRB 796),171.629935525459
118,11-00378,Dovitinib (CHIR-258),192.362940416036
119,11-00378,Flavopiridol,167.059039652336
120,11-00378,GW-2580,179.748257847358
121,11-00378,Go6976,238.453374477431
122,11-00378,H-89,268.92011525876
123,11-00378,Idelalisib,212.443659182267
124,11-00378,JAK Inhibitor I,249.034038057105
125,11-00378,JNJ-7706621,247.922075730884
126,11-00378,JNK Inhibitor II,240.655650184125
127,11-00378,KN92,271.387743500678
128,11-00378,KN93,283.392452056072
129,11-00378,LY294002,213.838604308897
130,11-00378,MEK1/2 Inhibitor,243.577446771584
131,11-00378,Midostaurin,207.988199040228
132,11-00378,NF-kB Activation Inhibitor,262.402010418521
133,11-00378,Nilotinib,230.923393724112
134,11-00378,PD98059,266.167946805458
135,11-00378,PP2,256.811842326405
136,11-00378,PRT062070,174.082508378917
137,11-00378,Ponatinib (AP24534),218.999505365325
139,11-00378,Roscovitine (CYC-202),284.824966182224
140,11-00378,SB-202190,279.102519017325
141,11-00378,SB-203580,253.957982728304
142,11-00378,STO609,266.028764039212
143,11-00378,SU14813,173.511637901304
144,11-00378,SYK Inhibitor,257.265617469678
145,11-00378,Sorafenib,219.576748667139
146,11-00378,Sunitinib,195.777134192345
147,11-00378,Tandutinib (MLN518),210.104855386292
148,11-00378,Tozasertib (VX-680),229.122911162393
149,11-00378,VX-745,219.106287020205
150,11-00378,p38 MAP Kinase Inhibitor,274.729549247741
151,11-00382,AKT Inhibitor IV,216.534219556923
152,11-00382,AKT Inhibitor X,173.101868765703
153,11-00382,AMPK Inhibitor,190.935652734675
154,11-00382,AST-487,123.236157659382
155,11-00382,Alisertib (MLN8237),284.281948395955
156,11-00382,Bortezomib (Velcade),90.4740472260308
157,11-00382,CYT387,265.540051913676
158,11-00382,Dasatinib,255.708107486475
159,11-00382,Doramapimod (BIRB 796),273.965521408017
160,11-00382,Dovitinib (CHIR-258),88.4468407541093
161,11-00382,Flavopiridol,115.572308316848
162,11-00382,GW-2580,173.097127440742
163,11-00382,Go6976,266.560832027455
164,11-00382,H-89,157.57061654777
165,11-00382,Idelalisib,184.373575994367
166,11-00382,JAK Inhibitor I,227.132848210257
167,11-00382,JNJ-7706621,284.435162603304
168,11-00382,JNK Inhibitor II,236.092571919942
169,11-00382,KN92,277.606662752503
170,11-00382,KN93,285.124630481828
171,11-00382,LY294002,121.71740363502
172,11-00382,MEK1/2 Inhibitor,246.300984825471
173,11-00382,Midostaurin,79.8470216289638
174,11-00382,NF-kB Activation Inhibitor,146.635791495172
175,11-00382,Nilotinib,198.911093429791
176,11-00382,PD98059,226.391062636907
177,11-00382,PP2,285.581256872563
178,11-00382,PRT062070,276.320203114575
179,11-00382,Ponatinib (AP24534),261.379246092147
180,11-00382,Quizartinib (AC220),243.542792068375
181,11-00382,Roscovitine (CYC-202),280.533589237118
182,11-00382,SB-202190,286.327943276273
183,11-00382,SB-203580,286.327943276273
184,11-00382,STO609,276.087953546324
185,11-00382,SU14813,265.507643288509
186,11-00382,SYK Inhibitor,274.683280086956
187,11-00382,Sorafenib,211.209501896652
188,11-00382,Sunitinib,181.148025344645
189,11-00382,Tandutinib (MLN518),130.022715627733
190,11-00382,Tozasertib (VX-680),265.816972493824
191,11-00382,VX-745,203.998693659218
192,11-00382,p38 MAP Kinase Inhibitor,285.096323579524
194,11-00388,AKT Inhibitor X,219.074358984727
195,11-00388,AMPK Inhibitor,134.648918548977
196,11-00388,AST-487,137.783492793898
197,11-00388,Alisertib (MLN8237),193.696980568324
198,11-00388,Bortezomib (Velcade),114.738881283902
199,11-00388,CYT387,170.113301566382
200,11-00388,Dasatinib,217.683461371991
201,11-00388,Doramapimod (BIRB 796),135.184663623697
202,11-00388,Dovitinib (CHIR-258),84.5419968660663
203,11-00388,Flavopiridol,115.309429061217
204,11-00388,GW-2580,242.801147637797
205,11-00388,Go6976,151.84530087426
206,11-00388,H-89,179.725215772717
207,11-00388,Idelalisib,242.32700202953
208,11-00388,JAK Inhibitor I,211.013837948063
209,11-00388,JNJ-7706621,218.365233430867
210,11-00388,JNK Inhibitor II,131.042955266224
211,11-00388,KN92,223.31437679143
212,11-00388,KN93,204.46154134377
213,11-00388,LY294002,181.565481941795
214,11-00388,MEK1/2 Inhibitor,224.064848227265
215,11-00388,Midostaurin,102.48689407803
216,11-00388,NF-kB Activation Inhibitor,243.26048545892
217,11-00388,Nilotinib,256.811763524376
218,11-00388,PD98059,216.064171089492
219,11-00388,PP2,214.939783432939
220,11-00388,PRT062070,222.407931520754
221,11-00388,Ponatinib (AP24534),223.039411354052
222,11-00388,Quizartinib (AC220),77.1785344125582
223,11-00388,Roscovitine (CYC-202),285.876316648301
224,11-00388,SB-202190,202.596171342058
225,11-00388,SB-203580,199.535825197592
226,11-00388,STO609,263.80167913151
227,11-00388,SU14813,192.830181818311
228,11-00388,SYK Inhibitor,191.58361319677
229,11-00388,Sorafenib,115.214003860744
230,11-00388,Sunitinib,158.910067081522
231,11-00388,Tandutinib (MLN518),168.99526537155
232,11-00388,Tozasertib (VX-680),137.870836953124
233,11-00388,VX-745,241.259270476812
234,11-00388,p38 MAP Kinase Inhibitor,241.452190540985
235,11-00416,AKT Inhibitor IV,113.050001132768
236,11-00416,AKT Inhibitor X,261.193403749477
237,11-00416,AMPK Inhibitor,182.218175106223
238,11-00416,AST-487,149.251421758844
239,11-00416,Alisertib (MLN8237),225.781596160084
240,11-00416,Bortezomib (Velcade),78.5540506805446
241,11-00416,CYT387,163.842873836545
242,11-00416,Dasatinib,200.78827576951
243,11-00416,Doramapimod (BIRB 796),180.935338003449
244,11-00416,Dovitinib (CHIR-258),122.784433125476
245,11-00416,Flavopiridol,132.489302627997
246,11-00416,GW-2580,262.311880282508
247,11-00416,Go6976,167.114339839204
248,11-00416,H-89,259.630378665712
249,11-00416,Idelalisib,237.924017873874
250,11-00416,JAK Inhibitor I,200.914009804151
251,11-00416,JNJ-7706621,246.029719736848
252,11-00416,JNK Inhibitor II,193.863773573257
253,11-00416,KN92,248.534430210105
254,11-00416,KN93,257.467127720442
255,11-00416,LY294002,204.199426722525
256,11-00416,MEK1/2 Inhibitor,265.642513463168
257,11-00416,Midostaurin,159.972245755653
258,11-00416,NF-kB Activation Inhibitor,217.371070711137
259,11-00416,Nilotinib,261.222220575439
260,11-00416,PD98059,252.676097446662
261,11-00416,PP2,248.413825608302
262,11-00416,PRT062070,262.934816926417
263,11-00416,Ponatinib (AP24534),159.504334257647
264,11-00416,Quizartinib (AC220),140.89271077253
265,11-00416,Roscovitine (CYC-202),284.436195508179
266,11-00416,SB-202190,243.901382426506
267,11-00416,SB-203580,244.758906226816
268,11-00416,STO609,274.432296380944
269,11-00416,SU14813,207.125638173458
270,11-00416,SYK Inhibitor,196.213658577126
271,11-00416,Sorafenib,116.516350577219
272,11-00416,Sunitinib,190.699261471178
273,11-00416,Tandutinib (MLN518),208.772174968898
274,11-00416,Tozasertib (VX-680),194.911060453682
275,11-00416,VX-745,223.383221882521
276,11-00416,p38 MAP Kinase Inhibitor,270.174063213016
277,11-00465,A-674563,120.324205426468
278,11-00465,AKT Inhibitor IV,81.3037206216745
279,11-00465,AKT Inhibitor X,257.178459200123
280,11-00465,AMPK Inhibitor,190.866389587725
281,11-00465,AST-487,176.962472196256
282,11-00465,AT7519,96.1603994019009
283,11-00465,AZD1152-HQPA (AZD2811),247.750772797066
284,11-00465,AZD1480,190.494682931365
285,11-00465,Afatinib (BIBW-2992),163.35596956419
286,11-00465,Alisertib (MLN8237),185.840005050948
288,11-00465,BEZ235,46.3612439799317
289,11-00465,BI-2536,112.973431702684
290,11-00465,BMS-345541,213.828270803373
291,11-00465,Bortezomib (Velcade),38.5952562056773
292,11-00465,Bosutinib (SKI-606),119.266862433238
293,11-00465,CI-1040 (PD184352),122.03394141475
294,11-00465,CYT387,110.783827578887
295,11-00465,Canertinib (CI-1033),199.587288819272
296,11-00465,Cediranib (AZD2171),125.596152107306
298,11-00465,Crizotinib (PF-2341066),96.6701966106199
299,11-00465,Dasatinib,51.3428664973606
300,11-00465,Doramapimod (BIRB 796),113.576714797002
301,11-00465,Dovitinib (CHIR-258),106.731592672999
302,11-00465,Erlotinib,228.042553348522
303,11-00465,Flavopiridol,114.220037960825
304,11-00465,Foretinib (XL880),34.3119919786057
305,11-00465,GDC-0879,286.327943276273
306,11-00465,GDC-0941,63.0858578895608
307,11-00465,GSK-1838705A,209.589145890744
308,11-00465,GSK690693,231.728711525417
309,11-00465,GW-2580,135.868958282139
310,11-00465,Gefitinib,243.157902277282
311,11-00465,Go6976,144.221323187341
312,11-00465,H-89,277.17120695305
313,11-00465,INK-128,48.0098715635961
314,11-00465,Ibrutinib (PCI-32765),149.613197379451
315,11-00465,Idelalisib,146.639456768056
316,11-00465,Imatinib,141.8425498018
317,11-00465,JAK Inhibitor I,189.061933732605
318,11-00465,JNJ-28312141,7.14898773060242
319,11-00465,JNJ-7706621,218.829160948306
320,11-00465,JNK Inhibitor II,185.54437804839
321,11-00465,KI20227,48.1820137905148
322,11-00465,KN92,201.28236814883
323,11-00465,KN93,200.380563195434
324,11-00465,KW-2449,183.042093706997
325,11-00465,LY-333531,155.604728255183
326,11-00465,LY294002,132.610580918517
327,11-00465,Lapatinib,227.443256756287
328,11-00465,Lestaurtinib (CEP-701),67.927597645204
329,11-00465,Linifanib (ABT-869),106.061801600357
330,11-00465,MEK1/2 Inhibitor,207.981783984649
331,11-00465,MLN120B,176.259283992706
332,11-00465,Masitinib (AB-1010),131.570193901176
333,11-00465,Midostaurin,124.064900871222
334,11-00465,Motesanib (AMG-706),68.3688296099878
335,11-00465,NF-kB Activation Inhibitor,219.707865047172
336,11-00465,NVP-TAE684,142.976110206065
337,11-00465,Neratinib (HKI-272),144.433991033879
338,11-00465,Nilotinib,206.91034926763734
339,11-00465,PD153035,265.139294665194
340,11-00465,PD173955,236.179665683621
341,11-00465,PD98059,235.503052281475
342,11-00465,PHA-665752,220.389805302493
343,11-00465,PI-103,25.6708579785747
344,11-00465,PLX-4720,139.449010825881
345,11-00465,PP2,128.638804154881
346,11-00465,PP242,121.386678495855
347,11-00465,PRT062070,182.042327055588
348,11-00465,Pazopanib (GW786034),86.7197437684704
349,11-00465,Pelitinib (EKB-569),123.661677742726
350,11-00465,Ponatinib (AP24534),170.35638838721601
351,11-00465,Quizartinib (AC220),63.218766915922004
352,11-00465,R406,62.610137184113
353,11-00465,R547,193.424569168817
354,11-00465,RAF265 (CHIR-265),123.92321753204
355,11-00465,Rapamycin,92.3516260324417
356,11-00465,Roscovitine (CYC-202),242.836900744962
357,11-00465,SB-202190,221.456097870054
358,11-00465,SB-203580,179.565647019838
359,11-00465,SB-431542,198.684976583097
360,11-00465,SGX-523,226.953251549139
361,11-00465,SNS-032 (BMS-387032),71.6225094684466
362,11-00465,STO609,239.044013997193
363,11-00465,SU14813,164.856810663181
364,11-00465,SYK Inhibitor,139.433935590928
365,11-00465,Selumetinib (AZD6244),58.2414034706943
366,11-00465,Sorafenib,106.71614679197454
367,11-00465,Staurosporine,119.140269436259
368,11-00465,Sunitinib,119.15504380259132
369,11-00465,TG100-115,141.730048915273
370,11-00465,TG101348,112.049928600286
371,11-00465,Tandutinib (MLN518),160.742724607381
372,11-00465,Tofacitinib (CP-690550),111.794312528571
373,11-00465,Tozasertib (VX-680),169.930904797828
374,11-00465,Trametinib (GSK1120212),8.08597032154062e-09
375,11-00465,VX-745,258.621667519888
376,11-00465,Vandetanib (ZD6474),171.946460193039
378,11-00465,Vatalanib (PTK787),138.774305997898
379,11-00465,YM-155,207.224205963137
380,11-00465,p38 MAP Kinase Inhibitor,233.14560276202
381,11-00466,A-674563,141.429415477184
382,11-00466,AKT Inhibitor IV,77.9079751302552
383,11-00466,AKT Inhibitor X,266.308817748966
384,11-00466,AMPK Inhibitor,145.800632430161
385,11-00466,AST-487,239.814540328005
386,11-00466,AT7519,94.7602536754143
387,11-00466,AZD1152-HQPA (AZD2811),200.738434998214
388,11-00466,AZD1480,231.551127459872
389,11-00466,Afatinib (BIBW-2992),112.04029305059
390,11-00466,Alisertib (MLN8237),214.215617293627
391,11-00466,Axitinib (AG-013736),103.638711134159
392,11-00466,BEZ235,88.9520617521094
393,11-00466,BI-2536,95.5280772063381
394,11-00466,BMS-345541,230.952524860846
395,11-00466,Bortezomib (Velcade),57.7005987692783
396,11-00466,Bosutinib (SKI-606),100.636626597297
397,11-00466,CI-1040 (PD184352),186.565426836638
398,11-00466,CYT387,119.726187123058
399,11-00466,Canertinib (CI-1033),184.542750074621
400,11-00466,Cediranib (AZD2171),140.38204660198
401,11-00466,Crenolanib,118.73526724096502
402,11-00466,Crizotinib (PF-2341066),139.822397209105
403,11-00466,Dasatinib,104.97693910414978
404,11-00466,Doramapimod (BIRB 796),114.430387930872
405,11-00466,Dovitinib (CHIR-258),99.0191556192531
406,11-00466,Erlotinib,271.293928353281
407,11-00466,Flavopiridol,100.878954614348
408,11-00466,Foretinib (XL880),2.022422650501
409,11-00466,GDC-0879,286.327943276273
410,11-00466,GDC-0941,109.01923574986
411,11-00466,GSK-1838705A,203.694272746813
412,11-00466,GSK690693,177.597237283481
413,11-00466,GW-2580,195.389402166612
414,11-00466,Gefitinib,251.402182139196
415,11-00466,Go6976,139.808253139718
416,11-00466,H-89,260.49056094876
417,11-00466,INK-128,28.7277092534664
418,11-00466,Ibrutinib (PCI-32765),168.154350772458
419,11-00466,Idelalisib,179.902815431291
420,11-00466,Imatinib,207.105645325142
421,11-00466,JAK Inhibitor I,193.180999746266
422,11-00466,JNJ-28312141,10.4007650099339
423,11-00466,JNJ-7706621,197.697150917345
424,11-00466,JNK Inhibitor II,165.810160174725
425,11-00466,KI20227,119.747248325109
426,11-00466,KN92,235.432565428904
427,11-00466,KN93,193.38541034551
428,11-00466,KW-2449,97.1667266423159
429,11-00466,LY-333531,197.922101714948
430,11-00466,LY294002,133.628307519811
431,11-00466,Lapatinib,277.626970018186
432,11-00466,Lestaurtinib (CEP-701),85.9945638657184
433,11-00466,Linifanib (ABT-869),100.616136477398
434,11-00466,MEK1/2 Inhibitor,260.775183012358
435,11-00466,MLN120B,267.192360794273
436,11-00466,Masitinib (AB-1010),157.551953520503
437,11-00466,Midostaurin,127.232437300558
438,11-00466,Motesanib (AMG-706),139.49560393121
439,11-00466,NF-kB Activation Inhibitor,181.203437033503
440,11-00466,NVP-TAE684,70.8430115968245
441,11-00466,Neratinib (HKI-272),112.136987966039
442,11-00466,Nilotinib,206.42698870902498
443,11-00466,PD153035,270.777844031495
444,11-00466,PD173955,147.998839010625
445,11-00466,PD98059,266.663231231342
446,11-00466,PHA-665752,185.829438723401
447,11-00466,PI-103,138.589975465683
448,11-00466,PLX-4720,229.390154936061
449,11-00466,PP2,196.744273352312
450,11-00466,PP242,62.1154974694326
451,11-00466,PRT062070,237.519046826127
452,11-00466,Pazopanib (GW786034),159.186277365957
453,11-00466,Pelitinib (EKB-569),127.601088873772
454,11-00466,Ponatinib (AP24534),118.82271155260867
455,11-00466,Quizartinib (AC220),48.504447447829904
456,11-00466,R406,121.58134182661
457,11-00466,R547,168.35166968435
458,11-00466,RAF265 (CHIR-265),103.175364529171
459,11-00466,Rapamycin,207.946422169782
460,11-00466,Roscovitine (CYC-202),264.087044463065
461,11-00466,SB-202190,163.020536674908
462,11-00466,SB-203580,185.016134294226
463,11-00466,SB-431542,272.7952702039
464,11-00466,SGX-523,253.158099045831
465,11-00466,SNS-032 (BMS-387032),85.4881898358795
466,11-00466,STO609,277.172736038637
467,11-00466,SU14813,218.01284646204
468,11-00466,SYK Inhibitor,143.049161436643
469,11-00466,Selumetinib (AZD6244),172.879734273837
470,11-00466,Sorafenib,69.12198539999787
471,11-00466,Staurosporine,67.3824250124574
472,11-00466,Sunitinib,145.48833721895434
473,11-00466,TG100-115,216.425268377557
474,11-00466,TG101348,124.250353892189
475,11-00466,Tandutinib (MLN518),195.985434109901
476,11-00466,Tofacitinib (CP-690550),130.294911902926
477,11-00466,Tozasertib (VX-680),198.089453482284
478,11-00466,Trametinib (GSK1120212),47.3920882042289
479,11-00466,VX-745,199.680409300265
480,11-00466,Vandetanib (ZD6474),172.977212426806
481,11-00466,Vargetef,52.4112046967654
482,11-00466,Vatalanib (PTK787),210.123955288474
483,11-00466,YM-155,216.677711916066
484,11-00466,p38 MAP Kinase Inhibitor,242.083531493799
485,11-00475,A-674563,71.4739474231867
486,11-00475,AKT Inhibitor IV,66.2738437578794
487,11-00475,AKT Inhibitor X,264.629406074498
488,11-00475,AMPK Inhibitor,74.1294973297007
489,11-00475,AST-487,268.29112184791
490,11-00475,AT7519,57.4642862882286
491,11-00475,AZD1152-HQPA (AZD2811),163.41765702011
492,11-00475,AZD1480,77.4964683992429
493,11-00475,Afatinib (BIBW-2992),92.5375509771586
494,11-00475,Alisertib (MLN8237),201.679493910693
495,11-00475,Axitinib (AG-013736),126.084598086385
496,11-00475,BEZ235,75.2440262312035
497,11-00475,BI-2536,3.65061160614651
498,11-00475,BMS-345541,165.325219915011
499,11-00475,Bortezomib (Velcade),218.52373595963
500,11-00475,Bosutinib (SKI-606),48.9713115393197
501,11-00475,CI-1040 (PD184352),150.445212088572
502,11-00475,CYT387,36.9951314146715
503,11-00475,Canertinib (CI-1033),187.038543817555
504,11-00475,Cediranib (AZD2171),212.760407584363
505,11-00475,Crenolanib,38.7866185146735
506,11-00475,Crizotinib (PF-2341066),49.704418113057
507,11-00475,Doramapimod (BIRB 796),83.2055263418167
508,11-00475,Dovitinib (CHIR-258),25.0378825019363
509,11-00475,Erlotinib,199.218732247584
511,11-00475,Foretinib (XL880),20.7191811407128
512,11-00475,GDC-0879,286.327943276273
513,11-00475,GDC-0941,153.618322139938
516,11-00475,GW-2580,250.757048198109
517,11-00475,Gefitinib,212.088358143937
518,11-00475,Go6976,48.6912612498508
519,11-00475,H-89,201.487057932501
520,11-00475,INK-128,82.8628812531208
521,11-00475,Ibrutinib (PCI-32765),112.721525494944
522,11-00475,Idelalisib,244.931169450112
523,11-00475,Imatinib,246.015574981201
524,11-00475,JAK Inhibitor I,151.889121894304
525,11-00475,JNJ-28312141,63.1799172420726
526,11-00475,JNJ-7706621,186.138758153412
527,11-00475,JNK Inhibitor II,124.915296061594
528,11-00475,KI20227,157.484617234867
529,11-00475,KN92,152.208224151067
530,11-00475,KN93,142.691300255751
531,11-00475,KW-2449,47.7368338794381
532,11-00475,LY-333531,112.103763845691
533,11-00475,LY294002,129.656804351931
534,11-00475,Lapatinib,224.711454655742
535,11-00475,Lestaurtinib (CEP-701),5.47382269102106
536,11-00475,Linifanib (ABT-869),123.435413647326
537,11-00475,MEK1/2 Inhibitor,185.097408594849
539,11-00475,Masitinib (AB-1010),206.190272368226
540,11-00475,Midostaurin,75.0810995167629
541,11-00475,Motesanib (AMG-706),221.661426981711
542,11-00475,NF-kB Activation Inhibitor,50.5238617471298
543,11-00475,NVP-TAE684,15.9228825370666
544,11-00475,Neratinib (HKI-272),76.2724010600639
545,11-00475,Nilotinib,260.4214895584227
546,11-00475,PD153035,231.025821372075
547,11-00475,PD173955,184.997577640635
548,11-00475,PD98059,251.988388757827
549,11-00475,PHA-665752,63.6944619029205
550,11-00475,PI-103,130.292850299578
551,11-00475,PLX-4720,163.173365708545
552,11-00475,PP2,206.453670183329
553,11-00475,PP242,82.3220990487831
554,11-00475,PRT062070,199.32815474985
555,11-00475,Pazopanib (GW786034),189.743735711636
556,11-00475,Pelitinib (EKB-569),87.7778414556818
557,11-00475,Ponatinib (AP24534),57.60710435402643
558,11-00475,Quizartinib (AC220),32.702528420210456
559,11-00475,R406,143.586031091663
560,11-00475,R547,135.809257360419
561,11-00475,RAF265 (CHIR-265),38.7223967983629
562,11-00475,Rapamycin,215.506635947554
563,11-00475,Roscovitine (CYC-202),217.271543391226
564,11-00475,SB-202190,148.674229103342
565,11-00475,SB-203580,136.601829023361
566,11-00475,SB-431542,282.174307986651
567,11-00475,SGX-523,190.518897365928
568,11-00475,SNS-032 (BMS-387032),48.910897210677
569,11-00475,STO609,276.804109216309
570,11-00475,SU14813,231.560772853494
571,11-00475,SYK Inhibitor,79.5901759295362
572,11-00475,Selumetinib (AZD6244),150.289753019002
573,11-00475,Sorafenib,48.05466403732544
574,11-00475,Staurosporine,125.600626807229
575,11-00475,Sunitinib,88.33100798237565
576,11-00475,TG100-115,213.276267200064
577,11-00475,TG101348,18.3981268798761
578,11-00475,Tandutinib (MLN518),109.298211095583
579,11-00475,Tofacitinib (CP-690550),175.796496172346
581,11-00475,Trametinib (GSK1120212),7.14271275063955
582,11-00475,VX-745,230.092101263383
583,11-00475,Vandetanib (ZD6474),120.902967060494
584,11-00475,Vargetef,35.7303934840049
585,11-00475,Vatalanib (PTK787),233.875433117464
586,11-00475,YM-155,263.52624006073
587,11-00475,p38 MAP Kinase Inhibitor,207.278261631693
588,11-00503,A-674563,216.922862770326
589,11-00503,AKT Inhibitor IV,161.444177923097
590,11-00503,AKT Inhibitor X,283.525971270209
591,11-00503,AMPK Inhibitor,260.72598329494
592,11-00503,AST-487,218.810542852488
593,11-00503,AT7519,160.56063526777
594,11-00503,AZD1152-HQPA (AZD2811),276.917427296718
595,11-00503,AZD1480,279.025350961599
596,11-00503,Afatinib (BIBW-2992),205.561074126159
597,11-00503,Alisertib (MLN8237),266.688757435881
598,11-00503,Axitinib (AG-013736),187.795433170962
599,11-00503,BEZ235,187.836677145087
600,11-00503,BI-2536,168.105784015743
601,11-00503,BMS-345541,255.273309619872
602,11-00503,Bortezomib (Velcade),113.468180036995
603,11-00503,Bosutinib (SKI-606),243.73529334309
604,11-00503,CI-1040 (PD184352),207.628067338292
605,11-00503,CYT387,243.47361283477
606,11-00503,Canertinib (CI-1033),242.773253959327
607,11-00503,Cediranib (AZD2171),239.162890901076
608,11-00503,Crenolanib,255.2429355476425
609,11-00503,Crizotinib (PF-2341066),203.851498590961
610,11-00503,Dasatinib,161.813061332956
611,11-00503,Doramapimod (BIRB 796),182.810877416317
612,11-00503,Dovitinib (CHIR-258),182.820370464642
613,11-00503,Erlotinib,274.097375186503
614,11-00503,Flavopiridol,116.159502749054
615,11-00503,Foretinib (XL880),130.19514448994
616,11-00503,GDC-0879,286.327943276273
617,11-00503,GDC-0941,111.46703246286751
618,11-00503,GSK-1838705A,279.473882108654
619,11-00503,GSK690693,260.221808255387
620,11-00503,GW-2580,221.920851805768
621,11-00503,Gefitinib,271.895458099116
622,11-00503,Go6976,259.883333361495
623,11-00503,H-89,282.714491155775
624,11-00503,INK-128,85.8770197872634
