,Argonne_ID,DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,Manual_edit
37,CCLE.PRECLH,ACH-000170,PrEC LH,PRECLH,PRECLH_PROSTATE,
38,CCLE.TM-87,ACH-000172,TM-87,TM87,TM87_SOFT_TISSUE,
39,CCLE.JHUEM3,ACH-000173,JHUEM-3,JHUEM3,JHUEM3_ENDOMETRIUM,
40,CTRP.JHUEM-3,ACH-000173,JHUEM-3,JHUEM3,JHUEM3_ENDOMETRIUM,
41,CCLE.TE159T,ACH-000175,,TE159T,TE159T_FIBROBLAST,
42,CCLE.NCIH1618,ACH-000179,NCI-H1618,NCIH1618,NCIH1618_LUNG,
43,GDSC.NCI-H1618,ACH-000179,NCI-H1618,NCIH1618,NCIH1618_LUNG,
44,CCLE.HS839T,ACH-000180,Hs 839.T,HS839T,HS839T_FIBROBLAST,
45,CTRP.Hs-839-T,ACH-000180,Hs 839.T,HS839T,HS839T_FIBROBLAST,
46,CCLE.HS737T,ACH-000185,,HS737T,HS737T_FIBROBLAST,
47,CCLE.HS934T,ACH-000194,Hs 934.T,HS934T,HS934T_FIBROBLAST,
48,CTRP.Hs-934-T,ACH-000194,Hs 934.T,HS934T,HS934T_FIBROBLAST,
49,CCLE.PK59,ACH-000205,PK-59,PK59,PK59_PANCREAS,
50,gCSI.PK-59,ACH-000205,PK-59,PK59,PK59_PANCREAS,
51,CTRP.PK-59,ACH-000205,PK-59,PK59,PK59_PANCREAS,
52,CCLE.JHESOAD1,ACH-000216,JH-EsoAd1,JHESOAD1,JHESOAD1_OESOPHAGUS,
53,CCLE.MINO,ACH-000220,Mino,MINO,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
54,CTRP.Mino,ACH-000220,Mino,MINO,MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
55,CCLE.HS819T,ACH-000224,,HS819T,HS819T_FIBROBLAST,
56,CCLE.HS822T,ACH-000229,,HS822T,HS822T_FIBROBLAST,
57,CTRP.Hs-822-T,ACH-000229,,HS822T,HS822T_FIBROBLAST,
58,CCLE.HS742T,ACH-000230,Hs 742.T,HS742T,HS742T_FIBROBLAST,
59,CCLE.HUG1N,ACH-000239,HuG1-N,HUG1N,HUG1N_STOMACH,
60,CTRP.HuG1-N,ACH-000239,HuG1-N,HUG1N,HUG1N_STOMACH,
61,CCLE.JK1,ACH-000241,JK-1,JK1,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
62,CTRP.JK-1,ACH-000241,JK-1,JK1,JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
63,CCLE.HS834T,ACH-000275,,HS834T,HS834T_FIBROBLAST,
64,CCLE.HS840T,ACH-000284,,HS840T,HS840T_FIBROBLAST,
65,CCLE.TOLEDO,ACH-000285,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
66,GDSC.Toledo,ACH-000285,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
67,CTRP.Toledo,ACH-000285,Toledo,TOLEDO,TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
68,NCI60.BT-549,ACH-000288,BT-549,BT549,BT549_BREAST,
69,CCLE.BT549,ACH-000288,BT-549,BT549,BT549_BREAST,
70,GDSC.BT-549,ACH-000288,BT-549,BT549,BT549_BREAST,
71,gCSI.BT-549,ACH-000288,BT-549,BT549,BT549_BREAST,
72,CTRP.BT-549,ACH-000288,BT-549,BT549,BT549_BREAST,
73,CCLE.NCIH889,ACH-000297,NCI-H889,NCIH889,NCIH889_LUNG,
74,gCSI.NCI-H889,ACH-000297,NCI-H889,NCIH889,NCIH889_LUNG,
75,CTRP.NCI-H889,ACH-000297,NCI-H889,NCIH889,NCIH889_LUNG,
76,CCLE.SLR25,ACH-000300,,SLR25,SLR25_KIDNEY,
77,CCLE.KMRC3,ACH-000313,KMRC-3,KMRC3,KMRC3_KIDNEY,
78,CTRP.KMRC-3,ACH-000313,KMRC-3,KMRC3,KMRC3_KIDNEY,
79,CCLE.MOLM6,ACH-000321,MOLM-6,MOLM6,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
80,CTRP.MOLM-6,ACH-000321,MOLM-6,MOLM6,MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
81,CCLE.SNU620,ACH-000325,SNU-620,SNU620,SNU620_STOMACH,
82,CTRP.SNU-620,ACH-000325,SNU-620,SNU620,SNU620_STOMACH,
83,CCLE.LN215,ACH-000328,LN-215,LN215,LN215_CENTRAL_NERVOUS_SYSTEM,
84,CCLE.JHOM2B,ACH-000333,JHOM-2B,JHOM2B,JHOM2B_OVARY,
85,CCLE.HS870T,ACH-000340,Hs 870.T,HS870T,HS870T_FIBROBLAST,
86,CCLE.SKRC20,ACH-000385,SK-RC-20,SKRC20,SKRC20_KIDNEY,
87,CCLE.NUDHL1,ACH-000388,NU-DHL-1,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
88,CTRP.NU-DHL-1,ACH-000388,NU-DHL-1,NUDHL1,NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
89,CCLE.RI1,ACH-000398,RI-1,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
90,CTRP.RI-1,ACH-000398,RI-1,RI1,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
91,CCLE.HS739T,ACH-000413,,HS739T,HS739T_FIBROBLAST,
92,CCLE.SW1353,ACH-000418,SW 1353,SW1353,SW1353_BONE,
93,CTRP.SW-1353,ACH-000418,SW 1353,SW1353,SW1353_BONE,
94,CCLE.KMS28BM,ACH-000419,KMS-28BM,KMS28BM,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
95,CTRP.KMS-28BM,ACH-000419,KMS-28BM,KMS28BM,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
96,CCLE.MOLP2,ACH-000453,MOLP-2,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
97,CTRP.MOLP-2,ACH-000453,MOLP-2,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
98,CCLE.LN428,ACH-000455,LN-428,LN428,LN428_CENTRAL_NERVOUS_SYSTEM,
99,CCLE.NALM1,ACH-000462,NALM-1,NALM1,NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
100,CCLE.HCC56,ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
101,GDSC.HCC-56,ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
102,CTRP.HCC-56,ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,
103,CCLE.MUTZ5,ACH-000492,MUTZ-5,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
104,CCLE.OELE,ACH-000494,OELE,OELE,OELE_OVARY,
105,CCLE.SNU1272,ACH-000513,SNU-1272,SNU1272,SNU1272_KIDNEY,
106,CTRP.SNU-1272,ACH-000513,SNU-1272,SNU1272,SNU1272_KIDNEY,
107,CCLE.NCIH1184,ACH-000523,NCI-H1184,NCIH1184,NCIH1184_LUNG,
108,GDSC.NCI-H1184,ACH-000523,NCI-H1184,NCIH1184,NCIH1184_LUNG,
109,CTRP.NCI-H1184,ACH-000523,NCI-H1184,NCIH1184,NCIH1184_LUNG,
110,CCLE.HS821T,ACH-000526,Hs 821.T,HS821T,HS821T_FIBROBLAST,
111,CCLE.T173,ACH-000529,T1-73,T173,T173_FIBROBLAST,
112,CCLE.RS5,ACH-000531,,RS5,RS5_FIBROBLAST,
113,CCLE.NCI-H2004RT,ACH-000533,NCI-H2004 RT,NCIH2004RT,NCIH2004RT_SOFT_TISSUE,
114,CCLE.SQ1,ACH-000553,Sq-1,SQ1,SQ1_LUNG,
115,CTRP.Sq-1,ACH-000553,Sq-1,SQ1,SQ1_LUNG,
116,CCLE.KHM1B,ACH-000564,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
117,gCSI.KHM-1B,ACH-000564,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
118,CTRP.KHM-1B,ACH-000564,KHM-1B,KHM1B,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
119,CCLE.KMS21BM,ACH-000598,KMS-21BM,KMS21BM,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
120,CTRP.KMS-21BM,ACH-000598,KMS-21BM,KMS21BM,KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
121,CCLE.M07E,ACH-000602,M-07e,M07E,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
122,CTRP.M-07e,ACH-000602,M-07e,M07E,M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
123,CCLE.HUT102,ACH-000612,,HUT102,HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
124,CCLE.IOMMLEE,ACH-000629,,IOMMLEE,IOMMLEE_CENTRAL_NERVOUS_SYSTEM,
125,CCLE.LN340,ACH-000634,LN-340,LN340,LN340_CENTRAL_NERVOUS_SYSTEM,
126,CCLE.SNU119,ACH-000635,SNU-119,SNU119,SNU119_OVARY,
127,CTRP.SNU-119,ACH-000635,SNU-119,SNU119,SNU119_OVARY,
128,CCLE.HMEL,ACH-000642,HMEL,HMEL,HMEL_BREAST,
129,CCLE.JL1,ACH-000645,JL-1,JL1,JL1_PLEURA,
130,CTRP.JL-1,ACH-000645,JL-1,JL1,JL1_PLEURA,
131,CCLE.L33,ACH-000685,L3.3,L33,L33_PANCREAS,
132,CTRP.L3-3,ACH-000685,L3.3,L33,L33_PANCREAS,
133,CCLE.KMRC2,ACH-000709,KMRC-2,KMRC2,KMRC2_KIDNEY,
134,CTRP.KMRC-2,ACH-000709,KMRC-2,KMRC2,KMRC2_KIDNEY,
135,CCLE.NCIH854,ACH-000710,NCI-H854,NCIH854,NCIH854_LUNG,
136,CCLE.YD10B,ACH-000723,YD-10B,YD10B,YD10B_UPPER_AERODIGESTIVE_TRACT,
137,CTRP.YD-10B,ACH-000723,YD-10B,YD10B,YD10B_UPPER_AERODIGESTIVE_TRACT,
138,CCLE.TE14,ACH-000726,TE-14,TE14,TE14_OESOPHAGUS,
139,CTRP.TE-14,ACH-000726,TE-14,TE14,TE14_OESOPHAGUS,
140,CCLE.KASUMI2,ACH-000728,KASUMI-2,KASUMI2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
141,CTRP.KASUMI-2,ACH-000728,KASUMI-2,KASUMI2,KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
142,CCLE.NCIH1385,ACH-000737,NCI-H1385,NCIH1385,NCIH1385_LUNG,
143,GDSC.NCI-H1385,ACH-000737,NCI-H1385,NCIH1385,NCIH1385_LUNG,
144,CTRP.NCI-H1385,ACH-000737,NCI-H1385,NCIH1385,NCIH1385_LUNG,
145,CCLE.UBLC1,ACH-000741,U-BLC1,UBLC1,UBLC1_URINARY_TRACT,
146,CTRP.U-BLC1,ACH-000741,U-BLC1,UBLC1,UBLC1_URINARY_TRACT,
147,CCLE.NUGC2,ACH-000761,NUGC-2,NUGC2,NUGC2_STOMACH,
148,CCLE.HLFA,ACH-000797,HLF-a,HLFA,HLFA_FIBROBLAST,
149,CCLE.HS936T,ACH-000801,Hs 936.T,HS936T,HS936T_SKIN,
150,CTRP.Hs-936-T,ACH-000801,Hs 936.T,HS936T,HS936T_SKIN,
151,CCLE.HUH28,ACH-000808,HuH28,HUH28,HUH28_BILIARY_TRACT,
152,CTRP.HuH-28,ACH-000808,HuH28,HUH28,HUH28_BILIARY_TRACT,
153,CCLE.T3M10,ACH-000813,T3M-10,T3M10,T3M10_LUNG,
154,CTRP.T3M-10,ACH-000813,T3M-10,T3M10,T3M10_LUNG,
155,CCLE.NCIH322,ACH-000837,NCI-H322,NCIH322,NCIH322_LUNG,
156,CTRP.NCI-H322,ACH-000837,NCI-H322,NCIH322,NCIH322_LUNG,
157,CCLE.NCIH1373,ACH-000845,NCI-H1373,NCIH1373,NCIH1373_LUNG,
158,CTRP.NCI-H1373,ACH-000845,NCI-H1373,NCIH1373,NCIH1373_LUNG,
159,CCLE.HS698T,ACH-000850,Hs 698.T,HS698T,HS698T_FIBROBLAST,
160,CCLE.OCI-MY5-2,ACH-000854,OCI-MY5,OCIMY5,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
161,CCLE.NCIH1930,ACH-000870,NCI-H1930,NCIH1930,NCIH1930_LUNG,
162,CCLE.WM88,ACH-000899,WM-88,WM88,WM88_SKIN,
163,CTRP.WM-88,ACH-000899,WM-88,WM88,WM88_SKIN,
164,CCLE.NCIH2106,ACH-000904,NCI-H2106,NCIH2106,NCIH2106_LUNG,
165,CTRP.NCI-H2106,ACH-000904,NCI-H2106,NCIH2106,NCIH2106_LUNG,
166,CCLE.SNU520,ACH-000908,SNU-520,SNU520,SNU520_STOMACH,
167,CCLE.JHUEM2,ACH-000909,JHUEM-2,JHUEM2,JHUEM2_ENDOMETRIUM,
168,CTRP.JHUEM-2,ACH-000909,JHUEM-2,JHUEM2,JHUEM2_ENDOMETRIUM,
169,CCLE.MDAPCA2B,ACH-000952,MDA PCa 2b,MDAPCA2B,MDAPCA2B_PROSTATE,
170,CCLE.HCC1588,ACH-001078,HCC-1588,HCC1588,HCC1588_LUNG,
171,CTRP.HCC-1588,ACH-001078,HCC-1588,HCC1588,HCC1588_LUNG,
172,CCLE.KD,ACH-001099,KD,KD,KD_SOFT_TISSUE,
173,CCLE.KPMRTRY,ACH-001109,KP-MRT-RY,KPMRTRY,KPMRTRY_SOFT_TISSUE,
174,CCLE.STM9101,ACH-001200,STM91-01,STM9101,STM9101_SOFT_TISSUE,
175,CCLE.TIG3TD,ACH-001207,TIG-3 TD,TIG3TD,TIG3TD_FIBROBLAST,
176,CCLE.SKNO-1-2,ACH-001656,SKNO-1,SKNO1,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
177,CCLE.NIHOVCAR3,ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
178,NCI60.OVCAR-3,ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
179,GDSC.OVCAR-3,ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,
180,NCI60.HL-60,ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
181,CCLE.HL60,ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
182,GDSC.HL-60,ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
183,CTRP.HL-60,ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
184,CCLE.Caco-2,ACH-000003,CACO2,CACO2,CACO2_LARGE_INTESTINE,
185,CCLE.HEL,ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
186,GDSC.HEL,ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
187,gCSI.HEL,ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
188,CTRP.HEL,ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
189,CCLE.HEL9217,ACH-000005,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
190,CTRP.HEL-92-1-7,ACH-000005,HEL 92.1.7,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
191,CCLE.MONOMAC6,ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
192,GDSC.MONO-MAC-6,ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
193,CTRP.MONO-MAC-6,ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
194,CCLE.LS513,ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,
195,GDSC.LS-513,ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,
196,CTRP.LS-513,ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,
197,CCLE.A101D,ACH-000008,A101D,A101D,A101D_SKIN,
198,GDSC.A101D,ACH-000008,A101D,A101D,A101D_SKIN,
199,CTRP.A101D,ACH-000008,A101D,A101D,A101D_SKIN,
200,CCLE.C2BBE1,ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
201,GDSC.C2BBe1,ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
202,gCSI.C2BBE1,ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
203,CTRP.C2BBe1,ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,
204,CCLE.253J,ACH-000011,253J,253J,253J_URINARY_TRACT,
205,CTRP.253J,ACH-000011,253J,253J,253J_URINARY_TRACT,
206,CCLE.HCC827,ACH-000012,HCC827,HCC827,HCC827_LUNG,
207,GDSC.HCC-827,ACH-000012,HCC827,HCC827,HCC827_LUNG,
208,gCSI.HCC827,ACH-000012,HCC827,HCC827,HCC827_LUNG,
209,CTRP.HCC827,ACH-000012,HCC827,HCC827,HCC827_LUNG,
210,CCLE.ONCODG1,ACH-000013,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
211,gCSI.ONCO-DG-1,ACH-000013,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
212,CTRP.ONCO-DG-1,ACH-000013,ONCO-DG-1,ONCODG1,ONCODG1_OVARY,
213,CCLE.HS294T,ACH-000014,Hs 294T,HS294T,HS294T_SKIN,
214,gCSI.HS-294T,ACH-000014,Hs 294T,HS294T,HS294T_SKIN,
215,CTRP.Hs-294T,ACH-000014,Hs 294T,HS294T,HS294T_SKIN,
216,CCLE.NCIH1581,ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,
217,GDSC.NCI-H1581,ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,
218,gCSI.NCI-H1581,ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,
219,CTRP.NCI-H1581,ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,
220,CCLE.SKBR3,ACH-000017,SK-BR-3,SKBR3,SKBR3_BREAST,
221,gCSI.SK-BR-3,ACH-000017,SK-BR-3,SKBR3,SKBR3_BREAST,
222,CTRP.SK-BR-3,ACH-000017,SK-BR-3,SKBR3,SKBR3_BREAST,
223,CCLE.T24,ACH-000018,T24,T24,T24_URINARY_TRACT,
224,GDSC.T-24,ACH-000018,T24,T24,T24_URINARY_TRACT,
225,CTRP.T-24,ACH-000018,T24,T24,T24_URINARY_TRACT,
226,NCI60.MCF7,ACH-000019,MCF7,MCF7,MCF7_BREAST,
227,CCLE.MCF7,ACH-000019,MCF7,MCF7,MCF7_BREAST,
228,GDSC.MCF7,ACH-000019,MCF7,MCF7,MCF7_BREAST,
229,gCSI.MCF7,ACH-000019,MCF7,MCF7,MCF7_BREAST,
230,CTRP.MCF7,ACH-000019,MCF7,MCF7,MCF7_BREAST,
231,CCLE.MHHCALL2,ACH-000020,MHH-CALL-2,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
232,GDSC.MHH-CALL-2,ACH-000020,MHH-CALL-2,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
233,CCLE.NCIH1693,ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,
234,GDSC.NCI-H1693,ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,
235,CTRP.NCI-H1693,ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,
236,CCLE.PATU8988S,ACH-000022,PA-TU-8988S,PATU8988S,PATU8988S_PANCREAS,
237,CTRP.PA-TU-8988S,ACH-000022,PA-TU-8988S,PATU8988S,PATU8988S_PANCREAS,
238,CCLE.PATU8988T,ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,
239,GDSC.PA-TU-8988T,ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,
240,CTRP.PA-TU-8988T,ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,
241,CCLE.OPM2,ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
242,GDSC.OPM-2,ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
243,gCSI.OPM-2,ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
244,CTRP.OPM-2,ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
245,CCLE.CH157MN,ACH-000025,CH-157MN,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,
246,CCLE.253JBV,ACH-000026,253J-BV,253JBV,253JBV_URINARY_TRACT,
247,CTRP.253J-BV,ACH-000026,253J-BV,253JBV,253JBV_URINARY_TRACT,
248,CCLE.GOS3,ACH-000027,GOS-3,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,
249,CTRP.GOS-3,ACH-000027,GOS-3,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,
250,CCLE.KPL1,ACH-000028,KPL-1,KPL1,KPL1_BREAST,
251,CTRP.KPL-1,ACH-000028,KPL-1,KPL1,KPL1_BREAST,
252,CCLE.HCC827GR5,ACH-000029,HCC-827-GR5,HCC827GR5,HCC827GR5_LUNG,
253,CCLE.PC14,ACH-000030,PC-14,PC14,PC14_LUNG,
254,GDSC.PC-14,ACH-000030,PC-14,PC14,PC14_LUNG,
255,CTRP.PC-14,ACH-000030,PC-14,PC14,PC14_LUNG,
256,CCLE.PANC0213,ACH-000031,Panc 02.13,PANC0213,PANC0213_PANCREAS,
257,CCLE.PLB-985-2,ACH-000034,,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Yes
258,CCLE.NCIH1650,ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,
259,GDSC.NCI-H1650,ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,
260,CTRP.NCI-H1650,ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,
261,CCLE.U343,ACH-000036,U343,U343,U343_CENTRAL_NERVOUS_SYSTEM,
262,CCLE.S117,ACH-000037,S-117,S117,S117_THYROID,
263,GDSC.S-117,ACH-000037,S-117,S117,S117_THYROID,
264,gCSI.S-117,ACH-000037,S-117,S117,S117_THYROID,
265,CCLE.EHEB,ACH-000038,EHEB,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
